1;1995;Toy_Story_(1995)
2;1995;Jumanji_(1995)
3;1995;Grumpier_Old_Men_(1995)
4;1995;Waiting_to_Exhale_(1995)
5;1995;Father_of_the_Bride_Part_II_(1995)
6;1995;Heat_(1995)
7;1995;Sabrina_(1995)
8;1995;Tom_and_Huck_(1995)
9;1995;Sudden_Death_(1995)
10;1995;GoldenEye_(1995)
11;1995;American_President,_The_(1995)
12;0;Dracula
13;1995;Balto_(1995)
14;1995;Nixon_(1995)
15;1995;Cutthroat_Island_(1995)
16;1995;Casino_(1995)
17;1995;Sense_and_Sensibility_(1995)
18;1995;Four_Rooms_(1995)
19;0;Ace_Ventura
20;1995;Money_Train_(1995)
21;1995;Get_Shorty_(1995)
22;1995;Copycat_(1995)
23;1995;Assassins_(1995)
24;1995;Powder_(1995)
25;1995;Leaving_Las_Vegas_(1995)
26;1995;Othello_(1995)
27;1995;Now_and_Then_(1995)
28;1995;Persuasion_(1995)
29;1995;City_of_Lost_Children,_The_(1995)
30;1995;Shanghai_Triad_(Yao_a_yao_yao_dao_waipo_qiao)_(1995)
31;1995;Dangerous_Minds_(1995)
32;1995;Twelve_Monkeys_(1995)
33;1995;Wings_of_Courage_(1995)
34;1995;Babe_(1995)
35;1995;Carrington_(1995)
36;1995;Dead_Man_Walking_(1995)
37;1995;Across_the_Sea_of_Time_(1995)
38;1995;It_Takes_Two_(1995)
39;1995;Clueless_(1995)
40;1995;Cry,_the_Beloved_Country_(1995)
41;1995;Richard_III_(1995)
42;1995;Dead_Presidents_(1995)
43;1995;Restoration_(1995)
44;1995;Mortal_Kombat_(1995)
45;1995;To_Die_For_(1995)
46;1995;How_to_Make_an_American_Quilt_(1995)
47;1995;Seven_(Se7en)_(1995)
48;1995;Pocahontas_(1995)
49;1995;When_Night_Is_Falling_(1995)
50;1995;Usual_Suspects,_The_(1995)
51;1995;Mighty_Aphrodite_(1995)
52;1994;Lamerica_(1994)
53;1995;Big_Green,_The_(1995)
54;1995;Georgia_(1995)
55;1995;Kids_of_the_Round_Table_(1995)
56;1995;Home_for_the_Holidays_(1995)
57;1994;Postino,_Il_(The_Postman)_(1994)
58;1995;Confessional,_The_(Le_Confessionnal)_(1995)
59;1995;Indian_in_the_Cupboard,_The_(1995)
60;1996;Eye_for_an_Eye_(1996)
61;1995;Mr._Holland's_Opus_(1995)
62;1996;Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood_(1996)
63;1996;Two_if_by_Sea_(1996)
64;1996;Bio-Dome_(1996)
65;0;Lawnmower_Man_2
66;1995;Two_Bits_(1995)
67;1995;French_Twist_(Gazon_maudit)_(1995)
68;1995;Friday_(1995)
69;1996;From_Dusk_Till_Dawn_(1996)
70;1995;Fair_Game_(1995)
71;1995;Kicking_and_Screaming_(1995)
72;1995;Misrables,_Les_(1995)
73;1996;Bed_of_Roses_(1996)
74;1996;Big_Bully_(1996)
75;1995;Screamers_(1995)
76;1995;Nico_Icon_(1995)
77;1995;Crossing_Guard,_The_(1995)
78;1996;Juror,_The_(1996)
79;1995;White_Balloon,_The_(Badkonake_Sefid_)_(1995)
80;1995;Things_to_Do_in_Denver_when_You're_Dead_(1995)
81;1995;Antonia's_Line_(Antonia)_(1995)
82;1995;Once_Upon_a_Time..._When_We_Were_Colored_(1995)
83;1995;Last_Summer_in_the_Hamptons_(1995)
84;1995;Angels_and_Insects_(1995)
85;1996;White_Squall_(1996)
